Player,Date,Elo
Denis Shapovalov,2019-05-27,1846.59401139
Hubert Hurkacz,2019-05-27,1811.58208718
Matteo Berrettini,2019-06-10,1900.87184073
Denis Shapovalov,2019-06-10,1830.14096514
Hubert Hurkacz,2019-06-10,1802.42983783
Matteo Berrettini,2019-06-17,1966.87980983
Denis Shapovalov,2019-06-17,1815.84548714
Hubert Hurkacz,2019-06-17,1802.42983783
Matteo Berrettini,2019-06-24,1974.63459824
Denis Shapovalov,2019-06-24,1806.52574637
Hubert Hurkacz,2019-06-24,1782.90357281
Matteo Berrettini,2019-07-01,1974.63459824
Denis Shapovalov,2019-07-01,1806.52574637
Hubert Hurkacz,2019-07-01,1794.22653275
Matteo Berrettini,2019-07-15,1990.75173061
Hubert Hurkacz,2019-07-15,1819.36543226
Denis Shapovalov,2019-07-15,1787.17689718
Matteo Berrettini,2019-07-22,1990.75173061
Hubert Hurkacz,2019-07-22,1819.36543226
Denis Shapovalov,2019-07-22,1787.17689718
Matteo Berrettini,2019-07-29,1990.75173061
Hubert Hurkacz,2019-07-29,1819.36543226
Denis Shapovalov,2019-07-29,1787.17689718
Matteo Berrettini,2019-08-05,1990.75173061
Hubert Hurkacz,2019-08-05,1810.94459835
Denis Shapovalov,2019-08-05,1787.17689718
Matteo Berrettini,2019-08-12,1990.75173061
Hubert Hurkacz,2019-08-12,1838.31499386
Denis Shapovalov,2019-08-12,1797.25403071
Matteo Berrettini,2019-08-19,1965.63038339
Hubert Hurkacz,2019-08-19,1828.31374424
Denis Shapovalov,2019-08-19,1795.8805834
Matteo Berrettini,2019-08-26,1965.63038339
Hubert Hurkacz,2019-08-26,1873.91470221
Denis Shapovalov,2019-08-26,1826.82511555
Matteo Berrettini,2019-09-09,2003.04916331
Hubert Hurkacz,2019-09-09,1855.7641427
Denis Shapovalov,2019-09-09,1838.50986081
Matteo Berrettini,2019-09-16,2003.04916331
Hubert Hurkacz,2019-09-16,1855.7641427
Denis Shapovalov,2019-09-16,1838.50986081
Matteo Berrettini,2019-09-23,1982.08798015
Denis Shapovalov,2019-09-23,1838.50986081
Hubert Hurkacz,2019-09-23,1834.127672
Matteo Berrettini,2019-09-30,1982.08798015
Denis Shapovalov,2019-09-30,1853.35029761
Hubert Hurkacz,2019-09-30,1834.127672
Matteo Berrettini,2019-10-07,1960.12321857
Denis Shapovalov,2019-10-07,1853.23977089
Hubert Hurkacz,2019-10-07,1819.32041874
Matteo Berrettini,2019-10-14,1994.73949115
Denis Shapovalov,2019-10-14,1860.11800141
Hubert Hurkacz,2019-10-14,1834.94887487
Matteo Berrettini,2019-10-21,1994.73949115
Denis Shapovalov,2019-10-21,1902.15539084
Hubert Hurkacz,2019-10-21,1834.94887487
Matteo Berrettini,2019-10-28,2007.02802705
Denis Shapovalov,2019-10-28,1886.53917898
Hubert Hurkacz,2019-10-28,1822.68726687
Matteo Berrettini,2019-11-11,1987.57697969
Denis Shapovalov,2019-11-11,1930.76907728
Hubert Hurkacz,2019-11-11,1810.88719301
Matteo Berrettini,2019-11-18,1990.54801337
Denis Shapovalov,2019-11-18,1930.76907728
Hubert Hurkacz,2019-11-18,1810.88719301
Matteo Berrettini,2020-01-06,1952.22873846
Denis Shapovalov,2020-01-06,1948.69170951
Hubert Hurkacz,2020-01-06,1810.88719301
Denis Shapovalov,2020-01-13,1963.34860915
Matteo Berrettini,2020-01-13,1952.22873846
Hubert Hurkacz,2020-01-13,1867.52512276
Matteo Berrettini,2020-01-20,1952.22873846
Denis Shapovalov,2020-01-20,1951.09408921
Hubert Hurkacz,2020-01-20,1883.577631
Matteo Berrettini,2020-02-03,1930.06019584
Denis Shapovalov,2020-02-03,1929.46721214
Hubert Hurkacz,2020-02-03,1873.71258363
Matteo Berrettini,2020-02-10,1930.06019584
Denis Shapovalov,2020-02-10,1910.71789743
Hubert Hurkacz,2020-02-10,1873.71258363
Matteo Berrettini,2020-02-17,1930.06019584
Denis Shapovalov,2020-02-17,1892.75603491
Hubert Hurkacz,2020-02-17,1864.95899566
Matteo Berrettini,2020-02-24,1930.06019584
Denis Shapovalov,2020-02-24,1887.70689887
Hubert Hurkacz,2020-02-24,1855.14111899
Matteo Berrettini,2020-03-02,1930.06019584
Denis Shapovalov,2020-03-02,1887.70689887
Hubert Hurkacz,2020-03-02,1837.52474594
Matteo Berrettini,2020-08-24,1930.06019584
Denis Shapovalov,2020-08-24,1887.70689887
Hubert Hurkacz,2020-08-24,1837.52474594
Matteo Berrettini,2020-08-31,1922.11146269
Denis Shapovalov,2020-08-31,1885.90189181
Hubert Hurkacz,2020-08-31,1822.63460091
Matteo Berrettini,2020-09-14,1930.55846687
Denis Shapovalov,2020-09-14,1911.37364323
Hubert Hurkacz,2020-09-14,1798.67842444
Denis Shapovalov,2020-09-21,1931.60402629
Matteo Berrettini,2020-09-21,1921.65864203
Hubert Hurkacz,2020-09-21,1824.7830159
Denis Shapovalov,2020-09-28,1931.60402629
Matteo Berrettini,2020-09-28,1921.65864203
Hubert Hurkacz,2020-09-28,1824.7830159
Matteo Berrettini,2020-10-12,1919.64346281
Denis Shapovalov,2020-10-12,1915.61662475
Hubert Hurkacz,2020-10-12,1808.03191253
Denis Shapovalov,2020-10-19,1929.75773683
Matteo Berrettini,2020-10-19,1919.64346281
Hubert Hurkacz,2020-10-19,1812.52738415
Matteo Berrettini,2020-10-26,1919.64346281
Denis Shapovalov,2020-10-26,1909.1930858
Hubert Hurkacz,2020-10-26,1812.52738415
Denis Shapovalov,2020-11-02,1884.76150485
Hubert Hurkacz,2020-11-02,1801.31268153
Matteo Berrettini,2020-11-09,1899.020781
Denis Shapovalov,2020-11-09,1884.76150485
Hubert Hurkacz,2020-11-09,1782.28084656
Denis Shapovalov,2020-11-16,1863.7575576
Hubert Hurkacz,2020-11-16,1782.28084656
Denis Shapovalov,2021-01-04,1863.7575576
Hubert Hurkacz,2021-01-04,1782.28084656
Denis Shapovalov,2021-01-11,1863.7575576
Hubert Hurkacz,2021-01-11,1817.97617631
Denis Shapovalov,2021-02-01,1863.7575576
Hubert Hurkacz,2021-02-01,1817.97617631
Matteo Berrettini,2021-02-08,1924.7339631
Denis Shapovalov,2021-02-08,1853.38204353
Hubert Hurkacz,2021-02-08,1817.9558278
Matteo Berrettini,2021-02-22,1953.73913293
Denis Shapovalov,2021-02-22,1863.97270775
Hubert Hurkacz,2021-02-22,1801.86199486
Matteo Berrettini,2021-03-01,1953.73913293
Denis Shapovalov,2021-03-01,1863.97270775
Hubert Hurkacz,2021-03-01,1788.69642123
Matteo Berrettini,2021-03-08,1953.73913293
Denis Shapovalov,2021-03-08,1863.97270775
Hubert Hurkacz,2021-03-08,1797.22586631
Matteo Berrettini,2021-03-15,1953.73913293
Denis Shapovalov,2021-03-15,1861.69276778
Hubert Hurkacz,2021-03-15,1797.22586631
Matteo Berrettini,2021-03-22,1953.73913293
Denis Shapovalov,2021-03-22,1881.86339337
Hubert Hurkacz,2021-03-22,1799.98840477
Matteo Berrettini,2021-04-05,1953.73913293
Hubert Hurkacz,2021-04-05,1904.51315887
Denis Shapovalov,2021-04-05,1873.37201447
Matteo Berrettini,2021-04-12,1953.73913293
Hubert Hurkacz,2021-04-12,1904.51315887
Denis Shapovalov,2021-04-12,1873.37201447
Hubert Hurkacz,2021-04-19,1891.37087204
Denis Shapovalov,2021-04-19,1873.37201447
Matteo Berrettini,2021-04-19,1837.90108515
Matteo Berrettini,2021-04-26,1904.82402815
Hubert Hurkacz,2021-04-26,1891.37087204
Denis Shapovalov,2021-04-26,1870.94990768
Matteo Berrettini,2021-05-03,1904.82402815
Hubert Hurkacz,2021-05-03,1891.37087204
Denis Shapovalov,2021-05-03,1853.63911077
Matteo Berrettini,2021-05-10,1949.16031149
Hubert Hurkacz,2021-05-10,1872.03931214
Denis Shapovalov,2021-05-10,1846.21335806
Matteo Berrettini,2021-05-17,1954.71162318
Hubert Hurkacz,2021-05-17,1872.03931214
Denis Shapovalov,2021-05-17,1856.44334961
Matteo Berrettini,2021-05-24,1954.71162318
Hubert Hurkacz,2021-05-24,1872.03931214
Denis Shapovalov,2021-05-24,1871.64129198
Matteo Berrettini,2021-05-31,1954.71162318
Hubert Hurkacz,2021-05-31,1872.03931214
Denis Shapovalov,2021-05-31,1871.64129198
Matteo Berrettini,2021-06-14,1962.24562737
Denis Shapovalov,2021-06-14,1864.72889696
Hubert Hurkacz,2021-06-14,1834.04220945
Matteo Berrettini,2021-06-21,2006.55207137
Denis Shapovalov,2021-06-21,1876.83937253
Hubert Hurkacz,2021-06-21,1820.69113626
